user_id,customer_age,time_on_site,pages_visited,purchase_amount,customer_satisfaction,is_premium,session_date,device_type,traffic_source,country,browser
102,30,12.8,5,55.44,4.0,True,2023-01-05 05:00:00,Desktop,Social,Canada,Chrome
103,18,17.6,8,88.28,7.9,False,2023-01-05 06:00:00,Desktop,Organic,France,Chrome
104,61,7.7,6,75.13,3.4,False,2023-01-05 07:00:00,Desktop,Organic,UK,Chrome
105,39,5.7,2,34.98,3.0,False,2023-01-05 08:00:00,Desktop,Direct,Canada,Chrome
106,23,13.0,5,116.22,5.9,True,2023-01-05 09:00:00,Desktop,Paid,Australia,Safari
107,36,12.0,6,152.26,6.7,True,2023-01-05 10:00:00,Desktop,Organic,Germany,Chrome
108,18,17.1,4,98.34,4.4,False,2023-01-05 11:00:00,Mobile,Direct,Canada,Firefox
109,19,27.1,10,115.22,6.5,False,2023-01-05 12:00:00,Tablet,Social,Canada,Safari
110,36,14.0,7,145.91,6.9,True,2023-01-05 13:00:00,Mobile,Paid,UK,Chrome
111,48,1.1,3,53.83,4.8,False,2023-01-05 14:00:00,Mobile,Paid,France,Firefox
112,18,20.2,7,107.46,9.1,True,2023-01-05 15:00:00,Mobile,Social,USA,Safari
113,29,17.4,5,110.75,6.8,False,2023-01-05 16:00:00,Mobile,Paid,UK,Edge
114,50,7.8,3,44.45,7.1,False,2023-01-05 17:00:00,Desktop,Direct,USA,Chrome
115,18,12.0,6,79.6,3.6,True,2023-01-05 18:00:00,Desktop,Social,France,Firefox
116,38,20.8,5,97.49,3.8,True,2023-01-05 19:00:00,Desktop,Social,Australia,Chrome
117,36,7.4,5,81.41,6.5,True,2023-01-05 20:00:00,Desktop,Social,USA,Chrome
118,61,8.6,4,83.13,8.6,False,2023-01-05 21:00:00,Mobile,Direct,Australia,Chrome
119,32,15.0,5,103.46,4.5,False,2023-01-05 22:00:00,Desktop,Organic,Australia,Chrome
120,32,16.8,6,85.15,6.1,False,2023-01-05 23:00:00,Desktop,Organic,Germany,Chrome
121,48,17.7,9,88.75,4.0,True,2023-01-06 00:00:00,Desktop,Social,USA,Firefox
122,18,20.9,9,114.46,5.1,True,2023-01-06 01:00:00,Mobile,Organic,France,Chrome
123,32,11.2,7,88.06,6.2,True,2023-01-06 02:00:00,Desktop,Social,Germany,Chrome
124,28,20.6,8,87.14,5.1,False,2023-01-06 03:00:00,Desktop,Paid,France,Firefox
125,33,10.5,5,65.32,3.7,False,2023-01-06 04:00:00,Desktop,Paid,UK,Chrome
126,48,10.0,7,96.71,4.0,True,2023-01-06 05:00:00,Desktop,Organic,Germany,Chrome
127,43,4.0,2,43.63,2.6,False,2023-01-06 06:00:00,Mobile,Social,Australia,Chrome
128,24,11.2,4,79.2,6.5,False,2023-01-06 07:00:00,Desktop,Organic,France,Chrome
129,37,12.6,8,88.66,6.8,True,2023-01-06 08:00:00,Desktop,Organic,Germany,Chrome
130,57,8.1,3,85.35,6.7,True,2023-01-06 09:00:00,Tablet,Paid,Australia,Safari
131,23,8.2,4,53.5,4.2,False,2023-01-06 10:00:00,Desktop,Organic,Canada,Firefox
132,37,14.8,4,86.7,7.4,False,2023-01-06 11:00:00,Mobile,Social,UK,Chrome
133,32,9.8,3,72.73,6.8,False,2023-01-06 12:00:00,Mobile,Direct,Australia,Chrome
134,34,19.7,5,129.47,6.3,True,2023-01-06 13:00:00,Desktop,Social,USA,Safari
135,18,16.3,7,93.55,5.7,True,2023-01-06 14:00:00,Desktop,Social,Germany,Chrome
136,56,1.0,5,123.31,5.3,True,2023-01-06 15:00:00,Desktop,Paid,France,Chrome
137,23,16.9,7,163.37,6.9,True,2023-01-06 16:00:00,Desktop,Direct,France,Chrome
138,50,3.8,3,41.06,7.8,False,2023-01-06 17:00:00,Desktop,Direct,France,Firefox
139,26,22.1,8,117.9,7.9,True,2023-01-06 18:00:00,Mobile,Direct,Canada,Firefox
140,26,15.8,9,87.44,5.5,False,2023-01-06 19:00:00,Desktop,Organic,UK,Chrome
141,53,6.8,3,76.02,6.6,False,2023-01-06 20:00:00,Desktop,Organic,USA,Chrome
142,50,11.5,5,70.72,4.1,False,2023-01-06 21:00:00,Mobile,Organic,UK,Firefox
143,38,7.0,5,76.19,6.9,False,2023-01-06 22:00:00,Desktop,Organic,Australia,Chrome
144,46,3.1,4,55.56,4.3,False,2023-01-06 23:00:00,Mobile,Organic,France,Chrome
145,31,16.3,6,230.43,8.3,True,2023-01-07 00:00:00,Desktop,Direct,Canada,Safari
146,35,7.5,3,61.27,10.0,False,2023-01-07 01:00:00,Mobile,Organic,Canada,Chrome
147,25,10.5,6,78.12,4.9,True,2023-01-07 02:00:00,Mobile,Organic,Canada,Chrome
148,49,13.1,4,112.56,10.0,True,2023-01-07 03:00:00,Mobile,Direct,Australia,Firefox
149,25,18.7,5,135.83,7.1,True,2023-01-07 04:00:00,Mobile,Direct,Canada,Firefox
150,57,1.0,4,62.01,4.5,False,2023-01-07 05:00:00,Desktop,Organic,Australia,Chrome
151,30,11.3,6,124.91,5.1,True,2023-01-07 06:00:00,Desktop,Organic,USA,Chrome
152,35,8.4,6,198.56,10.0,True,2023-01-07 07:00:00,Desktop,Direct,Canada,Chrome
153,46,18.5,4,85.47,6.6,False,2023-01-07 08:00:00,Desktop,Direct,Germany,Chrome
154,35,17.4,6,78.45,4.9,False,2023-01-07 09:00:00,Mobile,Social,France,Chrome
155,31,12.2,5,94.84,5.6,True,2023-01-07 10:00:00,Desktop,Paid,USA,Chrome
156,35,16.0,5,124.45,6.9,False,2023-01-07 11:00:00,Desktop,Social,Germany,Chrome
157,48,2.2,4,116.64,6.2,True,2023-01-07 12:00:00,Mobile,Social,Australia,Chrome
158,25,12.6,5,101.79,6.5,True,2023-01-07 13:00:00,Desktop,Organic,USA,Chrome
159,33,14.1,5,90.09,8.6,True,2023-01-07 14:00:00,Mobile,Paid,UK,Chrome
160,35,15.2,5,72.31,4.0,False,2023-01-07 15:00:00,Desktop,Direct,Canada,Firefox
161,48,8.6,5,123.07,7.2,False,2023-01-07 16:00:00,Tablet,Social,UK,Edge
162,34,14.7,4,94.61,5.8,True,2023-01-07 17:00:00,Desktop,Organic,Canada,Firefox
163,62,5.3,2,26.62,4.5,False,2023-01-07 18:00:00,Mobile,Social,Australia,Firefox
164,33,12.9,6,175.95,8.4,True,2023-01-07 19:00:00,Mobile,Social,Australia,Chrome
165,31,12.6,4,59.62,3.4,False,2023-01-07 20:00:00,Tablet,Organic,Germany,Firefox
166,32,11.6,4,112.19,2.6,False,2023-01-07 21:00:00,Tablet,Paid,Australia,Chrome
167,18,19.3,6,110.87,6.4,True,2023-01-07 22:00:00,Mobile,Paid,France,Safari
168,19,19.7,7,85.53,5.6,True,2023-01-07 23:00:00,Desktop,Direct,USA,Edge
169,27,16.4,4,84.07,3.8,False,2023-01-08 00:00:00,Desktop,Organic,Canada,Chrome
170,52,2.0,3,46.11,2.9,True,2023-01-08 01:00:00,Mobile,Direct,Australia,Safari
171,35,8.2,2,37.58,8.3,False,2023-01-08 02:00:00,Mobile,Paid,Canada,Firefox
172,28,17.2,6,112.11,6.8,True,2023-01-08 03:00:00,Mobile,Direct,Germany,Firefox
173,53,14.8,6,125.32,6.3,True,2023-01-08 04:00:00,Mobile,Direct,Canada,Chrome
174,58,6.8,5,71.92,9.0,False,2023-01-08 05:00:00,Desktop,Direct,USA,Chrome
175,54,5.3,2,45.46,7.0,True,2023-01-08 06:00:00,Desktop,Direct,Germany,Safari
176,22,18.0,7,122.02,8.9,False,2023-01-08 07:00:00,Desktop,Paid,Canada,Chrome
177,28,9.5,5,49.79,3.7,False,2023-01-08 08:00:00,Mobile,Organic,France,Chrome
178,62,11.4,7,81.51,4.0,True,2023-01-08 09:00:00,Desktop,Paid,Australia,Chrome
179,39,12.8,5,77.31,6.7,False,2023-01-08 10:00:00,Desktop,Social,USA,Chrome
180,31,10.9,5,79.95,6.4,False,2023-01-08 11:00:00,Mobile,Paid,Canada,Firefox
181,46,8.9,2,39.39,7.3,True,2023-01-08 12:00:00,Desktop,Paid,Canada,Firefox
182,50,5.8,5,41.65,3.0,False,2023-01-08 13:00:00,Desktop,Organic,France,Safari
183,26,22.1,8,99.36,7.0,True,2023-01-08 14:00:00,Desktop,Social,Canada,Firefox
184,38,11.0,4,88.07,7.4,False,2023-01-08 15:00:00,Mobile,Organic,Germany,Firefox
185,49,9.6,4,67.25,7.1,False,2023-01-08 16:00:00,Desktop,Paid,Australia,Safari
186,18,21.0,9,100.79,5.4,True,2023-01-08 17:00:00,Mobile,Social,Germany,Chrome
187,35,9.2,5,153.04,7.3,True,2023-01-08 18:00:00,Mobile,Paid,USA,Firefox
188,18,19.0,5,91.51,4.8,False,2023-01-08 19:00:00,Mobile,Direct,Canada,Safari
189,20,18.8,8,113.93,5.7,False,2023-01-08 20:00:00,Tablet,Social,Australia,Firefox
190,27,7.8,3,109.7,4.5,True,2023-01-08 21:00:00,Desktop,Social,Canada,Firefox
191,42,12.1,3,77.6,4.6,False,2023-01-08 22:00:00,Desktop,Paid,Australia,Chrome
192,30,14.2,4,100.45,5.6,True,2023-01-08 23:00:00,Desktop,Organic,Australia,Chrome
193,25,16.6,6,80.65,5.1,False,2023-01-09 00:00:00,Mobile,Social,UK,Firefox
194,36,12.9,3,77.74,4.6,False,2023-01-09 01:00:00,Desktop,Organic,Canada,Firefox
195,18,19.4,5,164.65,4.7,True,2023-01-09 02:00:00,Tablet,Direct,UK,Chrome
196,41,17.8,10,131.75,9.3,False,2023-01-09 03:00:00,Mobile,Direct,UK,Chrome
197,52,2.0,5,70.0,4.9,False,2023-01-09 04:00:00,Mobile,Organic,Canada,Chrome
198,34,11.6,6,81.52,6.3,False,2023-01-09 05:00:00,Desktop,Social,Canada,Chrome
199,32,17.2,5,71.58,3.1,False,2023-01-09 06:00:00,Mobile,Paid,Canada,Chrome
200,41,13.7,7,137.01,8.4,True,2023-01-09 07:00:00,Desktop,Organic,France,Chrome
201,18,20.4,8,111.76,6.4,False,2023-01-09 08:00:00,Mobile,Paid,USA,Chrome
202,43,24.4,5,96.1,5.3,False,2023-01-09 09:00:00,Mobile,Social,Canada,Chrome
203,80,2.6,5,41.51,4.8,True,2023-01-09 10:00:00,Desktop,Direct,Australia,Safari
204,33,19.2,11,138.1,7.7,True,2023-01-09 11:00:00,Mobile,Paid,France,Chrome
205,33,12.0,4,57.47,1.1,True,2023-01-09 12:00:00,Mobile,Social,UK,Firefox
206,46,4.7,7,120.34,5.0,False,2023-01-09 13:00:00,Mobile,Paid,UK,Chrome
207,60,4.0,3,46.06,5.3,False,2023-01-09 14:00:00,Desktop,Organic,Australia,Chrome
208,50,12.2,5,85.99,5.7,True,2023-01-09 15:00:00,Desktop,Social,Germany,Chrome
209,18,20.1,6,113.25,9.9,True,2023-01-09 16:00:00,Desktop,Social,Australia,Chrome
210,43,12.5,6,96.72,5.5,True,2023-01-09 17:00:00,Mobile,Social,Australia,Chrome
211,74,1.0,5,88.95,7.4,False,2023-01-09 18:00:00,Desktop,Direct,Canada,Chrome
212,44,8.3,3,55.52,8.3,False,2023-01-09 19:00:00,Tablet,Organic,Germany,Chrome
213,18,17.2,5,94.31,6.9,False,2023-01-09 20:00:00,Tablet,Paid,Canada,Firefox
214,39,15.4,6,110.75,5.1,True,2023-01-09 21:00:00,Desktop,Organic,Germany,Chrome
215,18,22.3,6,167.18,4.7,False,2023-01-09 22:00:00,Mobile,Direct,Germany,Chrome
216,53,2.4,3,80.19,6.9,False,2023-01-09 23:00:00,Desktop,Organic,France,Safari
217,21,21.1,9,154.03,9.0,True,2023-01-10 00:00:00,Desktop,Organic,Australia,Chrome
218,36,9.4,3,63.32,6.5,False,2023-01-10 01:00:00,Desktop,Social,France,Chrome
219,22,19.2,8,126.07,8.1,False,2023-01-10 02:00:00,Mobile,Paid,USA,Chrome
220,27,14.5,5,140.04,10.0,False,2023-01-10 03:00:00,Mobile,Social,Canada,Firefox
221,57,14.1,6,93.88,7.2,True,2023-01-10 04:00:00,Desktop,Direct,Germany,Chrome
222,37,10.4,7,99.98,4.3,True,2023-01-10 05:00:00,Desktop,Paid,Germany,Safari
223,27,16.4,8,81.02,5.9,False,2023-01-10 06:00:00,Desktop,Paid,Australia,Chrome
224,18,21.1,7,131.58,8.4,True,2023-01-10 07:00:00,Mobile,Direct,Canada,Chrome
225,18,13.7,8,109.85,5.7,True,2023-01-10 08:00:00,Desktop,Social,France,Safari
226,18,17.7,5,113.9,8.4,False,2023-01-10 09:00:00,Mobile,Organic,Canada,Firefox
227,37,11.2,7,84.06,5.7,True,2023-01-10 10:00:00,Tablet,Direct,USA,Edge
228,50,6.0,7,53.17,6.0,False,2023-01-10 11:00:00,Desktop,Paid,Canada,Firefox
229,27,13.3,7,119.95,5.7,True,2023-01-10 12:00:00,Mobile,Social,USA,Chrome
230,59,11.5,6,72.37,6.0,True,2023-01-10 13:00:00,Mobile,Social,Canada,Firefox
231,24,13.2,5,62.35,5.9,False,2023-01-10 14:00:00,Mobile,Organic,UK,Chrome
232,31,16.9,4,92.4,3.5,True,2023-01-10 15:00:00,Mobile,Direct,USA,Chrome
233,19,19.4,6,171.49,6.1,True,2023-01-10 16:00:00,Desktop,Organic,Germany,Chrome
234,50,1.6,3,35.27,3.5,False,2023-01-10 17:00:00,Mobile,Direct,France,Chrome
235,66,6.2,4,52.01,4.9,False,2023-01-10 18:00:00,Desktop,Direct,USA,Firefox
236,18,11.0,5,105.04,4.9,True,2023-01-10 19:00:00,Mobile,Direct,Germany,Firefox
237,30,17.7,5,90.63,7.4,True,2023-01-10 20:00:00,Desktop,Organic,Germany,Safari
238,54,4.8,3,84.16,7.4,False,2023-01-10 21:00:00,Desktop,Paid,USA,Chrome
239,18,18.1,7,100.79,6.8,True,2023-01-10 22:00:00,Desktop,Organic,Germany,Chrome
240,44,4.0,4,55.0,3.6,True,2023-01-10 23:00:00,Desktop,Paid,UK,Chrome
241,53,8.1,2,45.65,5.3,False,2023-01-11 00:00:00,Desktop,Paid,France,Chrome
242,36,17.3,5,103.08,4.0,True,2023-01-11 01:00:00,Desktop,Social,Germany,Chrome
243,43,6.5,5,55.67,5.3,True,2023-01-11 02:00:00,Mobile,Paid,USA,Chrome
244,61,2.0,5,53.04,6.5,False,2023-01-11 03:00:00,Mobile,Direct,Germany,Firefox
245,64,6.5,5,110.0,7.6,False,2023-01-11 04:00:00,Desktop,Organic,USA,Chrome
246,34,15.7,6,188.87,7.6,True,2023-01-11 05:00:00,Mobile,Paid,France,Firefox
247,27,3.2,2,64.81,7.5,True,2023-01-11 06:00:00,Mobile,Social,UK,Chrome
248,21,27.2,7,164.03,7.0,True,2023-01-11 07:00:00,Desktop,Organic,Canada,Chrome
249,50,11.2,5,72.9,5.4,False,2023-01-11 08:00:00,Mobile,Social,France,Safari
250,18,21.6,8,111.62,7.4,False,2023-01-11 09:00:00,Desktop,Social,Australia,Chrome
251,31,13.4,6,98.25,7.3,True,2023-01-11 10:00:00,Mobile,Social,Germany,Chrome
252,37,3.3,3,42.92,4.6,False,2023-01-11 11:00:00,Mobile,Social,USA,Safari
253,27,18.6,7,98.7,6.6,False,2023-01-11 12:00:00,Desktop,Direct,UK,Chrome
254,39,8.9,4,95.27,5.5,False,2023-01-11 13:00:00,Mobile,Direct,Germany,Chrome
255,73,4.2,4,65.83,2.6,False,2023-01-11 14:00:00,Desktop,Organic,USA,Chrome
256,33,12.5,5,81.53,6.5,False,2023-01-11 15:00:00,Mobile,Paid,Canada,Firefox
257,28,16.1,5,86.51,3.9,False,2023-01-11 16:00:00,Desktop,Direct,UK,Firefox
258,50,4.6,3,41.73,5.9,True,2023-01-11 17:00:00,Mobile,Organic,UK,Firefox
259,39,16.2,7,105.68,3.8,False,2023-01-11 18:00:00,Mobile,Paid,Australia,Safari
260,57,1.0,4,41.14,4.3,True,2023-01-11 19:00:00,Desktop,Social,Australia,Chrome
261,37,23.5,6,87.17,5.2,False,2023-01-11 20:00:00,Mobile,Organic,Australia,Chrome
262,31,25.3,7,97.3,7.8,False,2023-01-11 21:00:00,Desktop,Paid,Australia,Edge
263,18,26.3,7,117.27,5.4,True,2023-01-11 22:00:00,Mobile,Social,Australia,Chrome
264,18,24.5,5,128.89,4.7,True,2023-01-11 23:00:00,Mobile,Organic,UK,Safari
265,18,17.7,4,118.16,6.7,True,2023-01-12 00:00:00,Desktop,Organic,Canada,Safari
266,41,17.1,4,65.27,5.3,True,2023-01-12 01:00:00,Desktop,Direct,USA,Edge
267,18,17.6,5,109.77,7.3,False,2023-01-12 02:00:00,Desktop,Direct,France,Chrome
268,54,1.0,2,115.19,4.6,True,2023-01-12 03:00:00,Mobile,Social,Australia,Chrome
269,35,20.4,7,138.39,6.7,True,2023-01-12 04:00:00,Mobile,Paid,USA,Safari
270,31,19.7,7,115.11,9.9,True,2023-01-12 05:00:00,Desktop,Organic,UK,Chrome
271,22,16.6,6,103.05,5.7,False,2023-01-12 06:00:00,Desktop,Direct,UK,Chrome
272,44,4.1,4,67.33,6.0,False,2023-01-12 07:00:00,Mobile,Organic,Australia,Chrome
273,23,13.7,6,82.51,3.3,True,2023-01-12 08:00:00,Desktop,Direct,France,Chrome
274,20,8.3,7,119.34,4.9,True,2023-01-12 09:00:00,Desktop,Social,UK,Safari
275,53,12.4,6,71.26,6.4,False,2023-01-12 10:00:00,Mobile,Organic,USA,Edge
276,40,3.4,1,52.48,5.0,True,2023-01-12 11:00:00,Desktop,Social,Canada,Chrome
277,31,15.5,6,68.06,6.6,True,2023-01-12 12:00:00,Tablet,Direct,Germany,Chrome
278,45,5.9,5,106.14,6.7,False,2023-01-12 13:00:00,Desktop,Direct,USA,Chrome
